,id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,year,updated_on,x_coordinate,y_coordinate,latitude,longitude,location
0,12852836,JF426823,2022-10-07T00:00:00.000,008XX S WABASH AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,0123,001,4,32,07,2022,2022-10-24T16:47:03.000,,,,,
1,12852466,JF425021,2022-10-07T00:00:00.000,018XX W 16TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1234,012,25,31,14,2022,2022-10-24T16:47:03.000,,,,,
2,12851921,JF425649,2022-10-07T00:00:00.000,071XX S STATE ST,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,SIDEWALK,False,False,0323,003,6,69,18,2022,2022-10-24T16:47:03.000,,,,,
3,12851899,JF425685,2022-10-07T00:00:00.000,042XX N PULASKI RD,0810,THEFT,OVER $500,VEHICLE - COMMERCIAL,False,False,1723,017,39,16,06,2022,2022-10-24T16:47:03.000,,,,,
4,12852331,JF426178,2022-10-07T00:00:00.000,112XX S CHAMPLAIN AVE,0275,CRIMINAL SEXUAL ASSAULT,ATTEMPT AGGRAVATED - OTHER,RESIDENCE,False,False,0531,005,9,50,02,2022,2022-10-24T16:47:03.000,,,,,
5,12852546,JF426465,2022-10-07T00:00:00.000,105XX S WABASH AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,0512,005,9,49,07,2022,2022-10-24T16:47:03.000,,,,,
6,12851723,JF425475,2022-10-07T00:00:00.000,009XX S CLARK ST,0820,THEFT,$500 AND UNDER,RESIDENCE - GARAGE,False,False,0123,001,4,32,06,2022,2022-10-24T16:47:03.000,,,,,
7,12853309,JF427412,2022-10-07T00:00:00.000,131XX S CORLISS AVE,0560,ASSAULT,SIMPLE,RESIDENCE,False,True,0533,005,9,54,08A,2022,2022-10-24T16:47:03.000,,,,,
8,12851829,JF425610,2022-10-07T00:00:00.000,055XX W CORTLAND ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,2532,025,37,25,14,2022,2022-10-24T16:47:03.000,,,,,
9,12852119,JF426040,2022-10-07T00:00:00.000,079XX S UNION AVE,502P,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,True,False,0621,006,17,71,26,2022,2022-10-24T16:47:03.000,,,,,
10,12852798,JF426007,2022-10-07T00:00:00.000,018XX N KEDZIE AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,APARTMENT,False,True,1421,014,1,22,04A,2022,2022-10-24T16:47:03.000,,,,,
11,12852149,JF425559,2022-10-07T00:00:00.000,055XX W FULTON ST,0820,THEFT,$500 AND UNDER,STREET,False,False,1523,015,37,25,06,2022,2022-10-24T16:47:03.000,,,,,
12,12851414,JF424940,2022-10-07T00:00:00.000,083XX S BALTIMORE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,0423,004,7,46,08B,2022,2022-10-24T16:47:03.000,,,,,
13,12852467,JF425029,2022-10-07T00:00:00.000,018XX W 16TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1234,012,25,31,14,2022,2022-10-24T16:47:03.000,,,,,
14,12851360,JF424941,2022-10-07T00:00:00.000,010XX W 14TH ST,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,APARTMENT,False,True,1232,012,25,28,04B,2022,2022-10-24T16:47:03.000,,,,,
15,12854023,JF428225,2022-10-07T00:00:00.000,040XX N MOZART ST,0890,THEFT,FROM BUILDING,OTHER (SPECIFY),False,False,1724,017,33,16,06,2022,2022-10-24T16:47:03.000,,,,,
16,12853185,JF427286,2022-10-07T00:00:00.000,027XX W RASCHER AVE,0820,THEFT,$500 AND UNDER,APARTMENT,False,False,2011,020,40,4,06,2022,2022-10-24T16:47:03.000,,,,,
17,12852335,JF426245,2022-10-07T00:00:00.000,035XX N BROADWAY,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,True,False,1925,019,46,6,06,2022,2022-10-24T16:47:03.000,,,,,
18,12852123,JF426070,2022-10-07T00:00:00.000,031XX N CLARK ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,1933,019,44,6,06,2022,2022-10-24T16:47:03.000,,,,,
19,12852295,JF426149,2022-10-07T00:00:00.000,031XX S CANAL ST,0325,ROBBERY,VEHICULAR HIJACKING,ALLEY,False,False,0915,009,11,60,03,2022,2022-10-24T16:47:03.000,,,,,
